10/20/2014 3:13:25 PM New Instance of BeckmanFileHandler! Started: 
10/20/2014 3:13:25 PM Source path = C:\Program Files\Beckman Coulter\LS 6000 WinConnection Suite 1.1\Data\USER04\
10/20/2014 3:13:25 PM Destination path = C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\
10/21/2014 12:59:45 AM Moving file... Old file path: SN102101.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00087.xls, 2 move attempts required.
10/21/2014 1:07:07 AM Moving file... Old file path: SN102101.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00088.xls, 2 move attempts required.
10/21/2014 1:14:28 AM Moving file... Old file path: SN102101.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00089.xls, 1 move attempts required.
10/21/2014 1:15:58 AM Moving file... Old file path: UN102101.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00090.xls, 2 move attempts required.
10/21/2014 1:22:19 AM Moving file... Old file path: SN102101.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00091.xls, 1 move attempts required.
10/21/2014 1:29:40 AM Moving file... Old file path: SN102101.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00092.xls, 1 move attempts required.
10/21/2014 1:37:03 AM Moving file... Old file path: SN102101.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00093.xls, 1 move attempts required.
10/21/2014 1:44:26 AM Moving file... Old file path: SN102101.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00094.xls, 2 move attempts required.
10/21/2014 1:51:48 AM Moving file... Old file path: SN102101.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00095.xls, 1 move attempts required.
10/21/2014 1:59:11 AM Moving file... Old file path: SN102101.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00096.xls, 2 move attempts required.
10/21/2014 2:06:34 AM Moving file... Old file path: SN102101.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00097.xls, 1 move attempts required.
10/21/2014 2:13:57 AM Moving file... Old file path: SN102101.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00098.xls, 2 move attempts required.
10/21/2014 2:21:19 AM Moving file... Old file path: SN102101.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00099.xls, 1 move attempts required.
10/21/2014 2:22:50 AM Moving file... Old file path: UN102101.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00100.xls, 1 move attempts required.
10/21/2014 2:29:12 AM Moving file... Old file path: SN102101.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00101.xls, 2 move attempts required.
10/21/2014 2:36:33 AM Moving file... Old file path: SN102101.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00102.xls, 2 move attempts required.
10/21/2014 2:43:54 AM Moving file... Old file path: SN102101.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_1Gy_141020\MeasurementNo00103.xls, 2 move attempts required.
