10/22/2014 5:51:43 PM New Instance of BeckmanFileHandler! Started: 
10/22/2014 5:51:43 PM Source path = C:\Program Files\Beckman Coulter\LS 6000 WinConnection Suite 1.1\Data\USER04\
10/22/2014 5:51:43 PM Destination path = C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\
10/23/2014 4:42:11 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00088.xls, 2 move attempts required.
10/23/2014 4:49:42 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00089.xls, 1 move attempts required.
10/23/2014 4:57:06 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00090.xls, 1 move attempts required.
10/23/2014 5:04:19 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00091.xls, 2 move attempts required.
10/23/2014 5:11:38 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00092.xls, 2 move attempts required.
10/23/2014 5:19:00 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00093.xls, 2 move attempts required.
10/23/2014 5:26:24 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00094.xls, 2 move attempts required.
10/23/2014 5:33:47 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00095.xls, 1 move attempts required.
10/23/2014 5:41:09 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00096.xls, 1 move attempts required.
10/23/2014 5:48:32 AM Moving file... Old file path: SN102301.XLS, New file path: C:\Documents and Settings\Lab Administrator\Desktop\NSRL Data\Gamma_All_141022\MeasurementNo00097.xls, 2 move attempts required.
